x,y
-60.63422635319846,11.340896664844195
-37.944231820667014,14.348004373974845
-27.282668124658272,27.743302351011494
1.1481683980317143,22.82258064516131
8.802624384909791,-37.31957353745214
-56.53362493165663,-39.50656096227445
-72.11591033351557,1.4994532531437983
-74.84964461454345,-12.715965008201195
-75.94313832695461,12.161016949152554
-43.411700382722785,43.32558775287043
-73.20940404592673,82.41798797156915
-33.84363039912519,90.07244395844722
-18.808091853471836,82.41798797156915
-14.707490431930012,47.97293603061783
27.665390924002196,50.98004373974851
27.118644067796623,39.77173318753418
-60.63422635319846,11.340896664844195
