x,y
0.41892512565959805,0.31407883964757843
0.11053290997253384,25.199089983400285
0.6406141548737878,49.91464602947079
0.0978759794537325,75.23363087528293
3.002384540010439,85.891232172874
8.959269303707998,90.05117010688465
17.234428300454653,91.98843539470917
27.944793578698437,92.77791946686801
38.468710063208135,91.98843539470917
45.931191323241165,89.65773713151245
52.99234508842224,81.78465653253869
57.38227615453829,69.95594784244696
61.04343786595879,48.638247591559605
63.41413877567473,32.19475055798432
63.94181070639095,12.585888517036409
60.568096239342,-10.479729019871968
47.331902342053894,-32.65810857708654
29.843975640304535,-36.86724470675601
14.581612761763353,-23.495342172471013
1.3656089173460089,-11.304356954943486
0.41892512565959805,0.31407883964757843
